leg_id,net_a,net_b,a_id,b_id,leg_type,length_m,straight_m,two_lanes,lane_b_method,lane_shift_m,lane_b_length_m,centerline_min_separation_m,separation_ok,n_narrow_samples,n_crossings
DK04__BAK02,0,19,DK04,BAK02,straight,542.0573568616687,540.1741662277926,True,tangent_pair,0.0,540.1741662277926,49.99999999999981,True,0,0
DK04__EXT03,0,22,DK04,EXT03,straight,1188.4864324004714,1188.4864324004714,True,tangent_pair,0.0,1188.4864324004714,50.0,True,0,0
DK04__RBT05,0,32,DK04,RBT05,straight,83.71951410559886,293.7195141055989,True,tangent_pair,0.0,293.7195141055989,49.99999999999985,True,0,0
DB02__MIN016,1,9,DB02,MIN016,straight,791.622964783684,769.603942243256,True,tangent_pair,0.0,769.603942243256,50.00000000000045,True,0,0
DB02__EXT04,1,23,DB02,EXT04,theta,1184.4678026781064,1174.1845668300016,True,shifted_pair,15.0,1181.4228129772966,49.97012171958557,True,0,0
DB02__RBT07,1,34,DB02,RBT07,straight,175.09245719817594,399.5191417372353,True,tangent_pair,0.0,399.5191417372353,49.99999999999979,True,0,0
DB01__MIN017,2,11,DB01,MIN017,straight,675.9726389438922,675.9726389438922,True,tangent_pair,0.0,675.9726389438922,49.99999999999985,True,0,0
DB01__RBT05,2,32,DB01,RBT05,theta,797.3921910786006,899.2149003042001,True,shifted_pair,-15.0,1041.7692636288937,49.999999999999794,True,0,0
DB01__RBT06,2,33,DB01,RBT06,straight,450.5149307997836,714.5149307997834,True,tangent_pair,0.0,714.5149307997832,50.00000000000012,True,0,0
DB01__RBT08,2,35,DB01,RBT08,straight,268.2525261111172,413.2525261111171,True,tangent_pair,0.0,413.2525261111171,50.00000000000019,True,0,0
DK01__DK06,3,5,DK01,DK06,theta,905.5963004441944,899.5446709424245,True,tangent_pair,0.0,914.8777849201983,49.9999999999992,True,0,0
DK01__MAJ009,3,14,DK01,MAJ009,straight,724.3857700286111,724.3857700286111,True,tangent_pair,0.0,724.3857700286111,49.99999999999937,True,0,0
DK01__MIN012,3,15,DK01,MIN012,straight,559.0169943749474,559.0169943749474,True,tangent_pair,0.0,559.0169943749474,49.99999999999976,True,0,0
DK01__RBT03,3,30,DK01,RBT03,straight,1148.0677473613594,1464.9343506289968,True,tangent_pair,0.0,1464.9343506289968,49.99999999999996,True,0,0
DK01__RBT04,3,31,DK01,RBT04,straight,911.2281075597715,1221.5824431540436,True,tangent_pair,0.0,1221.5824431540436,50.00000000000002,True,0,0
DK01__RBT10,3,37,DK01,RBT10,straight,525.9199185234766,735.9199185234766,True,tangent_pair,0.0,735.9199185234764,49.999999999999716,True,0,0
DK01__RBT11,3,38,DK01,RBT11,straight,670.2976079019186,945.9267280802815,True,tangent_pair,0.0,945.9267280802815,49.999999999999176,True,0,0
DK01__RBT12,3,39,DK01,RBT12,straight,826.5099582071119,1072.5099582071118,True,tangent_pair,0.0,1072.5099582071118,49.99999999999917,True,0,0
DK02__DK05,4,6,DK02,DK05,straight,636.5172164710856,636.5172164710856,True,tangent_pair,0.0,636.5172164710856,50.00000000000007,True,0,0
DK02__MAJ011,4,13,DK02,MAJ011,theta,872.3471926335698,827.2268227899082,True,centerline+soft_buffer,,924.2640687119285,1.1989569465095542,False,57,2
DK02__MIN010,4,17,DK02,MIN010,straight,307.18975736100106,307.18975736100106,True,tangent_pair,0.0,307.18975736100106,49.99999999999954,True,0,0
DK06__DK05,5,6,DK06,DK05,straight,969.8554397884013,969.8554397884013,True,tangent_pair,0.0,969.8554397884013,49.999999999999794,True,0,0
DK06__DK03,5,7,DK06,DK03,straight,1496.2210033146998,1496.2210033146998,True,tangent_pair,0.0,1496.2210033146996,49.99999999999916,True,0,0
DK06__MAJ009,5,14,DK06,MAJ009,theta,1066.3534854973916,1032.2877154539328,True,shifted_pair,-15.0,1077.5005187889692,49.9999999999996,True,0,0
DK06__MIN012,5,15,DK06,MIN012,straight,432.98562227320605,432.98562227320605,True,tangent_pair,0.0,432.9856222732063,49.99999999999918,True,0,0
DK06__MAJ004,5,16,DK06,MAJ004,straight,576.1486472940366,576.1486472940366,True,tangent_pair,0.0,576.1486472940366,49.999999999999446,True,0,0
DK05__DK03,6,7,DK05,DK03,straight,2425.852690781942,2425.852690781942,True,tangent_pair,0.0,2425.852690781942,49.99999999999972,True,0,0
DK05__MAJ004,6,16,DK05,MAJ004,theta,461.21613139141715,460.0142400665202,True,tangent_pair,0.0,456.1847359752942,49.99999999999976,True,0,0
DK05__MIN010,6,17,DK05,MIN010,straight,348.9475112309099,348.9475112309099,True,tangent_pair,0.0,348.94751123091,49.99999999999922,True,0,0
DK03__MIN012,7,15,DK03,MIN012,straight,1188.4864324004714,1188.4864324004714,True,tangent_pair,0.0,1188.4864324004711,49.999999999999744,True,0,0
DK03__EXT07,7,26,DK03,EXT07,straight,951.8747677495373,951.8747677495373,True,tangent_pair,0.0,951.8747677495373,49.99999999999915,True,0,0
DK03__RBT12,7,39,DK03,RBT12,straight,260.06663390653995,506.06663390654023,True,tangent_pair,0.0,506.06663390654063,49.99999999999967,True,0,0
MIN014__MIN016,8,9,MIN014,MIN016,straight,756.6906898858634,756.6906898858634,True,tangent_pair,0.0,756.6906898858634,49.99999999999954,True,0,0
MIN014__EXT08,8,27,MIN014,EXT08,straight,1139.9216615497407,1139.9216615497407,True,tangent_pair,0.0,1139.9216615497407,49.999999999999936,True,0,0
MIN014__RBT07,8,34,MIN014,RBT07,theta,1298.9812990245798,1415.8183975778222,True,tangent_pair,0.0,1501.3468464083278,49.99999999999984,True,0,0
MIN016__RBT07,9,34,MIN016,RBT07,theta,917.0579575988277,1103.9499777959745,True,shifted_pair,-15.0,1153.1170536660225,49.9999999999996,True,0,0
MIN015__MIN017,10,11,MIN015,MIN017,straight,272.10708513738876,272.10708513738876,True,tangent_pair,0.0,272.1070851373886,49.999999999999744,True,0,0
MIN015__BAK01,10,18,MIN015,BAK01,theta,698.9689060511525,667.7098340788064,True,tangent_pair,0.0,683.1340062508841,49.99999999999978,True,0,0
MIN015__EXT08,10,27,MIN015,EXT08,theta,942.144847825507,938.3196061631135,True,shifted_pair,-15.0,946.040078403068,49.99999999999956,True,0,0
MIN015__RBT06,10,33,MIN015,RBT06,straight,471.2154753342305,735.2154753342307,True,tangent_pair,0.0,735.2154753342306,49.99999999999976,True,0,0
MIN017__RBT06,11,33,MIN017,RBT06,straight,325.1677908217235,589.1677908217234,True,tangent_pair,0.0,589.1677908217234,49.99999999999994,True,0,0
MIN013__MAJ011,12,13,MIN013,MAJ011,straight,292.44677890949936,292.44677890949936,True,tangent_pair,0.0,292.44677890949936,50.000000000000014,True,0,0
